,Lecture,Concepts,Reviewer#1 Concepts,Reviewer#2 Concepts,,Consolidated Student Concepts,TA Bhavya Concepts,TA Assma Concepts
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a24,Lecture 17,"probabilistic topic model; generative model; 
language model; unigram language model; statistical language model; 
word sequence; word distribution; probability distribution; 
maximum likelihood estimate; 
text data; text mining; topic analysis; vocabulary",Looks good,,,probabilistic topic model; generative model; language model; unigram language model; statistical language model; word sequence; word distribution; probability distribution; maximum likelihood estimate; text data; text mining; topic analysis; vocabulary,statistical language models;generative model; unigram language model; sampling; estimation; maximum likelihood estimate,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a25,Lecture 18,"Maximum liklihood estimation;
Bayesian estimation;
Maximum a posteriori (MAP) estimation;
Illustration of Baysian estimation/inference;","Additions: Prior, Posterior, Likelihood, Posterior Mode/Mean, Prior Mode/Mean",looks good after suggested edits,,Maximum likelihood estimation; Bayesian estimation; Maximum a posteriori estimation; Illustration of Baysian estimation/inference; Prior; Posterior; Likelihood; Posterior Mode/Mean; Prior Mode/Mean; MAP estimation ,Maximum likelihood estimation; Bayesian estimation; Bayes rule; Maximum a posteriori; MAP estimate; mode of prior; posterior mode; Bayesian inference; posterior mean; likelihood function; word distribution ,
https://classtranscribe. illinois .edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a26,Lecture 19,Topic Model: Single Topic Mining; Unigram Language Model;  Likelihood function for Single topic mining;  Computation of Maximum likelihood Estimate; Lagrange multiplier approach,,"CHANGE topic model: mining one topic TO Single Topic Mining
CHANGE likelihood function: mining one topic TO Likelihood function for Single topic mining


Author: Thank you for suggestion, incorporated the comments",,Single Topic Mining; Unigram Language Model;  Likelihood function for Single topic mining;  Computation of Maximum likelihood Estimate; Lagrange multiplier approach,probabilistic topic models; mining one topic; unigram language model; likelihood function; maximum likelihood estimate; Lagrange multiplier approach; Lagrange function ,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a27,Lecture 20,Probalistic Topic Models: Mixture of Unigram Language Models; probabilistic topic models; mixture model; unigram; language model; mixture of two unigram language models; component model; filtering out background; words; generative model,Looks good with suggestions provided by Reviewer#2,Maximum likelihood,,Probabilistic Topic Models; Mixture of Unigram Language Models; mixture model; unigram; language model; mixture of two unigram language models; component model; filtering out background; words; generative model; Maximum likelihood,Probabilistic Topic Models; Mixture of Unigram Language Models; background topic; background word distribution; mixture model; likelihood function,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a28,Lecture 21,mixture model estimation; probabilistic topic models; mixture model; background model; maximum likelihood estimator; word distributions; parameter estimation,mixture model estimation; probabilistic topic models; factoring out background words; mixture model; maximum likelihood; background model; likelihood function,looks good,,mixture model estimation; probabilistic topic models; mixture model; background model; maximum likelihood estimator; word distributions; parameter estimation; factoring out background words; maximum likelihood; likelihood function,mixture model estimation; probabilistic topic models; behavior of mixture model; maximum likelihood estimator,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a29,Lecture 22,Behavior of Mixture Model; Collaboration and Competiton; Response to Data Frequency ,"Add: likelihood functions, background language model",Looks good. Topics covered,,Behavior of Mixture Model; Collaboration and Competiton; Response to Data Frequency; likelihood functions; background language model ,behavior of mixture model; response to data frequency; maximum likelihood estimator; estimation problem of mixture model,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a30,Lecture 23,probabilistic topic model; mixture model; expectation maximization algorithm; EM algorithm; Bayesian inference; Bayes rule; background model; latent variable,"expectation maximization algorithm; EM algorithm; latent variable z; 
maximum likelihood estimate; probabilistic topic model; 
mixture model; word probability; word distribution; 
background words; background model; background word distribution; 
topic model; topic word distribution; 
Bayesian inference; Bayes rule; Bayes formula; prior",All topics covered (with Reviewer #1's suggestions),,"probabilistic topic model; mixture model; expectation maximization algorithm; EM algorithm; Bayesian inference; Bayes rule; background model; latent variable; latent variable z; maximum likelihood estimate; word probability; word distribution; 
background words; background model; background word distribution; topic model; topic word distribution; Bayesian inference; Bayes rule; Bayes formula; prior",expectation maximization algorithm; em algorithm; probabilistic topic models; two component mixture model; maximum likelihood estimator; Bayesian inference; prior; evidence; Bayes rule; latent variable,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a31,Lecture 24,Expectation-Maximization Algorithm; Hidden Variable (z); Predicting z value with Bayes Rule; E-Step; M-Step; Inferring topic vs background words,"EM algorithm;
iterative algorithm; hill climbing algorithm; local maximum; 
likelihood function; log likelihood; 
latent variable; hidden variable; binary variable; z value; 
word distribution; 
background; background model; background word distribution; 
topic; topic distribution; topic word distribution; 
Bayes rule; probability; parameters; inferred word distribution","Reviewer 1 as base:
Remove: binary variable, background, probabilitity, parameters (all too general concepts)",,"Expectation-Maximization Algorithm; Hidden Variable (z); Predicting z value with Bayes Rule; E-Step; M-Step; Inferring topic vs background words; EM algorithm;
iterative algorithm; hill climbing algorithm; local maximum; 
likelihood function; log likelihood; 
latent variable; hidden variable;  z value; 
word distribution; 
background model; background word distribution; 
topic; topic distribution; topic word distribution; 
Bayes rule; inferred word distribution",expectation maximization algorithm; em algorithm; hidden variable; E-step; M-step; hill climbing algorithm; likelihood function; local maximum ,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a32,Lecture 25,"Ranking functions, Jelinek-Mercer Smoothing, Dirichlet Prior Smoothing, TD-IDF weighting, Document length normalization, Smoothing parameter, Query likelihood Probablistic Model","Incorrect - no talk about smoothing in this lecture. Was there a mistake on the video for the original reviewer?
New proposal: EM algorithm; likelihood function; mixture model; local maximum; global maximum; hill-climbing algorithm","Agree with the first reviewer, the initial content topics are not correct, assume used wrong set of lectures.
Support first reviewers proposal: EM Algorithm; likelihood function; mixture model; local maximum; global maximum; hill climbing algorithm",,EM Algorithm; likelihood function; mixture model; local maximum; global maximum; hill climbing algorithm,EM algorithm; local maximum; hill climbing algorithm; likelihood function; lower bound ,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a33,Lecture 26,"Documents as a sample of mixed topics -
Determine which words are from which distribution; Mining multiple topics from text; Generating text from multuple topics;
Probability of observing a word from multiple topic distributions; Probabilistic Latent Semantic Analysis (PLSA) - likelihood function; Maximum Likelihood Parameter Estimation","Add: topic models; probabilistic modeling, background language model, topic coverages in documents, word probabilities in topics",looks good !!,,"Documents as a sample of mixed topics- Determine which words are from which distribution; Mining multiple topics from text; Generating text from multuple topics;
Probability of observing a word from multiple topic distributions; Probabilistic Latent Semantic Analysis (PLSA)- likelihood function; Maximum Likelihood Parameter Estimation; topic models; probabilistic modeling, background language model, topic coverages in documents, word probabilities in topics ",Probabilistic Latent Semantic Analysis; PLSA; Mining multiple topics from text; likelihood function for PLSA: maximum likelihood estimation,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a34,Lecture 27,EM algorithm for PLSA; Hidden variable; Bayes rule; Coverage; PLSA; Pre-determined background LM; Discriminative topics; K word distributions; Proportion of each topic,,unknown parameters in PLSA; output and its application,,EM algorithm for PLSA; Hidden variable; Bayes rule; Coverage; PLSA; Pre-determined background LM; Discriminative topics; K word distributions; Proportion of each topic; unknown parameters in PLSA; output and its application,EM algorithm; PLSA; E-step; M-step;  implementation of EM algorithm,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a35,Lecture 28,Latent Dirichlet Allocation; Extending PLSA with prior knowledge; Extending PLSA as a generative model; Maximum a Posteriori Estimate (MAP); Influence of conjugate prior similar to that of pseudo data; EM algorithm with conjugate prior; Pseudo count contribution tunable by mu,,"Consider adding: Encoding prior knowledge, preferences and constraints with a prior",,"Latent Dirichlet Allocation; Extending PLSA with prior knowledge; Extending PLSA as a generative model; Maximum a Posteriori Estimate (MAP); Influence of conjugate prior similar to that of pseudo data; EM algorithm with conjugate prior; Pseudo count contribution tunable by mu; Encoding prior knowledge, preferences and constraints with a prior",Latent Dirichlet Allocation; LDA; maximum a posteriori estimate; MAP estimate; conjugate prior; prior knowledge,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a36,Lecture 29,"Latent Dirichlet Allocation (LDA); Deficiency of Probabilistic Latent Semantic Analysis (PLSA); LDA as Generative Model; Dirichlet Prior; LDA as a Bayesian version of PLSA; Parameter Regularization in LDA; Collapsed Gibbs Sampling algorithm, Topic modeling; Mixture models; LDA likelihood function; Maximum likelihood estimator",,Add: topic modeling; mixture models; likelihood function for LDA; maximum likelihood estimator,,"Latent Dirichlet Allocation; LDA; Deficiency of Probabilistic Latent Semantic Analysis; Deficiency of PLSA; LDA as Generative Model; Dirichlet Prior; LDA as a Bayesian version of PLSA; Parameter Regularization in LDA; Collapsed Gibbs Sampling algorithm, Topic modeling; Mixture models; LDA likelihood function; Maximum likelihood estimator; mixture models; likelihood function for LDA",PLSA; LDA; generative model; dirichlet prior; likelihood function,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a37,Lecture 30,Text Clustering; Clustering Bias; Exploratory Text Analysis; Application of Text Clustering; Text Mining; Topic Mining and Analysis,"Remove ""Exploratory Text Analysis"", ""Text Mining"" and ""Topic Mining and Analysis"" as these terms might have been referred in the lecture but those concepts are not explained in-depth in this lecture.",,,Text Clustering; Clustering Bias; Application of Text Clustering,text clustering; clustering bias; exploratory text analysis,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a38,Lecture 31,Text Clustering; Generative probabilistic models; clustering results; Topic mining revisited; Mining one topic revisited; generative model; generative topic model revisited; Mixture model for document clustering; ,Consider add: likelihood function,Likelihood Function; difference between topic model and mixture model,,Text Clustering; Generative probabilistic models; clustering results; Topic mining revisited; Mining one topic revisited; generative model; generative topic model revisited; Mixture model for document clustering; Likelihood Function; difference between topic model and mixture model,Text Clustering; Generative probabilistic models; Mixture model for document clustering; topic model; likelihood function,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a39,Lecture 32,"Generative probabilistic models; text clustering; likelihood function, mixture model for document clustering; unigram language models; parameter estimation, maximum likelihood estimate; Bayes",Consider add: prior; cluster allocation,cluster allocation,,"Generative probabilistic models; text clustering; likelihood function, mixture model for document clustering; unigram language models; parameter estimation, maximum likelihood estimate; Bayes; prior; cluster allocation",generative probabilistic models; text clustering; mixture model for document clustering; assigning document to clusters; likelihood function,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a40,Lecture 33,Text clustering; Generative probabilistic models; EM algorithm for document clustering; Normalization to avoid underflow; Use of average distribution as normalizer,"Could add Generative Model for Clustering. Otherwise, looks good.",Could also include: Maximum Likelihood Estimator,,Text clustering; Generative probabilistic models; EM algorithm for document clustering; Normalization to avoid underflow; Use of average distribution as normalizer; Maximum Likelihood Estimator; Generative Model for Clustering,generative probabilistic models; text clustering; underflow; normalization; Generative Model for Clustering,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a41,Lecture 34,Text Clustering; Similarity-based Approaches; Hierarchical Agglomerative Clustering (HAC); Single-link; Complete-link; Average-link; K-Means Clustering,"Could also include:
Strategies for Optimal Clustering; Similarity of K-Means Algorithm with EM Algorithm","Suggestions:
1. Consider adding 'Group Similarity'
2. Consider 'Similarity-based Clustering' instead of 'Similarity-based Approaches'
3. Consider changing 'Hierarchical Agglomerative Clustering' to 'Agglomerative Hierarchical Clustering'
4. Consider adding 'algorithm' to the similarity methods (e.g.'Single-link algorithm', etc.).",,Text Clustering; Similarity-based Clustering; Agglomerative Hierarchical Clustering; HAC; Single-link algorithm; Complete-link algorithm; Average-link algorithm; K-Means Clustering; Strategies for Optimal Clustering; Similarity of K-Means Algorithm with EM Algorithm; Group Similarity,Similarity-based Clustering; Hierarchical Clustering; hierarchical agglomerative clustering; divisive; k-means; group similarity; single link; complete link; average link,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a42,Lecture 35,Evaluation of Text Clustering; Direct Evaluation of Text Clusters; Indirect Evaluation of Text Clusters; Clustering Bias; Gold Standard; Normalized Mutual Information; Baseline System; F-measure,"Consider adding cluster evaluation concepts such as ""Gold Standard"" and ""Baseline System"" and briefly mentioned evaluation metrics - ""Purity"", ""Normalized Mutual Information"" and ""F-measure""  ","Consider:
1. Adding 'Clustering Bias'",,Evaluation of Text Clustering; Direct Evaluation of Text Clusters; Indirect Evaluation of Text Clusters; Clustering Bias; Gold Standard; Normalized Mutual Information; Baseline System; F-measure; Closeness; Usefulness,evaluation of text clustering; clustering bias; direct evaluation; indirect evaluation; normalized mutual information; optimal number of clusters,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a43,Lecture 36,"data mining and analytics
opinion mining and sentiment analysis
Example of Text Categorization
Variant of Text Categorization
Why Text Categorization",,,,data mining and analytics; opinion mining and sentiment analysis; Example of Text Categorization; Variants of Text Categorization; Why Text Categorization,text categorization; internal categories; external categories; binary categorization; K-category categorization; hierarchical categorization; joint categorization; ,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a44,Lecture 37,Manual Text Categorization; Automatic Text Categorization; Machine Learning Text Categorization; Classifier; Generative Classifiers; Discriminative Classifiers;  ,,Looks good!,,Manual Text Categorization; Automatic Text Categorization; Machine Learning; Text Categorization; Classifier; Generative Classifiers; Discriminative Classifiers;  ,manual methods for text categorization; training data; machine learning; supervised learning; generative classifiers; discriminative classifiers,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a45,Lecture 38,Baye's Rule; Naive Bayes Classifier; Independence Assumption; Prior estimation; Posterior probability; word distriibutions; underflow; smoothing; mixture model; training data; comparing with logistic regression; feature values; word features; category bias; background language model; parameter tuning; discriminative weighting.,Add: Text Clustering; topic likelihood; conditional probability; text categorization; ,Looks good,,Baye's Rule; Naive Bayes Classifier; Independence Assumption; Prior estimation; Posterior probability; word distributions; underflow; smoothing; mixture model; training data; comparing with logistic regression; feature values; word features; category bias; background language model; parameter tuning; discriminative weighting; Text Clustering; topic likelihood; conditional probability; text categorization,generative probabilistic models; text categorization; Naive Bayes classifier; prior; word distributions; smoothing;category bias; features; scoring function;,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a46,Lecture 39,"Discriminative Classifier: Logistic Regression - Overview; Relationship between Logistic Regression and Naive Bayes Classifier; Logistic Regression - How to estimate parameters; K-Nearest Neighbors - Overview;
K-Nearest Neighbors - Illustration; K-Nearest Neighbors - Estimation Approach.",,Looks good!,,Discriminative Classifier: Logistic Regression - Overview; Relationship between Logistic Regression and Naive Bayes Classifier; Logistic Regression - How to estimate parameters; K-Nearest Neighbors - Overview; K-Nearest Neighbors - Illustration; K-Nearest Neighbors - Estimation Approach,discriminative classifiers; text categorization; logistic regression; log odd ratio; K nearest neighbors; KNN,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a47,Lecture 40,"Discriminative Classifier: Support Vector Machine; 
How to find the best Linear Separator in SVM; 
Simple Case: Linear SVM; 
Advanced Case: Linear SVM with Soft Margin; 
Summary of Text Categorization Methods.",,"Suggestions:
1) May be add how to design effective features.
2) May be add How to obtain enough training examples",,Discriminative Classifier: Support Vector Machine; How to find the best Linear Separator in SVM; Simple Case: Linear SVM; Advanced Case: Linear SVM with Soft Margin; Summary of Text Categorization Methods; How to design effective features; How to obtain enough training examples,discriminative classifier; text categorization; support vector machine; svm; linear separator; margin; linear svm; soft margin; feature design; error analysis; feature selection; dimension reduction; deep learning; semi-supervised learning; domain adaptation,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a48,Lecture 41,General Evaluation Methodology;Classification Accuracy;Problems with Classification Accuracy;Per-Document Evaluation;Per-Category Evaluation;Combine Precision and Recall: F-Measure,It looks all good to me ,"Suggestions:
1. May consider adding 'Text Categorization';
2. May consider removing 'Classification Accuracy' since it has covered in Problems with Classification Accuracy.",,General Evaluation Methodology; Classification Accuracy; Problems with Classification Accuracy;Per-Document Evaluation;Per-Category Evaluation;Combine Precision and Recall: F-Measure; Text Categorization,evaluation of text categorization; cranfield evaluation methodology; ground truth; classification accuracy; imbalanced test set; false positive; true positive; false negative; true negative; precision; recall; F measure; F1,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a49,Lecture 42,"Macro Average over all Documents, Macro Average over all Categories, Micro-Average of Precision and Recall, Text Categorization: Evaluation, Text Categorization: Ranking","Suggestion:
- Topics are mostly covered well, just one point can be added as 
Intended use of Measures",,,"Macro Average over all Documents, Macro Average over all Categories, Micro-Average of Precision and Recall, Text Categorization: Evaluation, Text Categorization: Ranking; Intended use of Measures",evaluation of text categorization; macro average; micro average; ranking accuracy,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a50,Lecture 43,Subjective vs. Objective Sensor; Definition of Opinion; Elements of Opinion Representation; Basic Opinion Representation; Enriched Opinion Representation; Opinion Mining with Explicit vs. Implicit Opinion Holder and Target; Variations of Opinion by elements; Author’s opinion vs. Another person’s opinion; Indirect Opinion Inferred from factual statements; Task Definition of Opinion Mining; Uses of Opinion Mining,looks good!,Looks good!,,Subjective vs. Objective Sensor; Definition of Opinion; Elements of Opinion Representation; Basic Opinion Representation; Enriched Opinion Representation; Opinion Mining with Explicit vs. Implicit Opinion Holder and Target; Variations of Opinion by elements; Author’s opinion vs. Another person’s opinion; Indirect Opinion Inferred from factual statements; Task Definition of Opinion Mining; Uses of Opinion Mining,opinion mining; sentiment analysis; subjective sensors; opinion holder; opinion representation; opinion target; opinion content; opinion context; opinion sentiment; indirect opinion; inferred opinion; author's opinion; reported opinion ,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a51,Lecture 44,"Sentiment Classification; Text features for Sentiment Analysis; List of text features used;Feature design & construction for Text Categorization;
Note: The Text features are discussed breifly like Character N-gram, Frequent patterns, POS tag etc., IMHO Word n-gram , POS and other text features discussed should not be part of key topics discussed.",Topics look good.,12/12/2020 since no editor input by now I will just put the concept list I have here: Sentiment Classification; Opinion Holder; Opinion Target; Opinion; Polarity Analysis; Emotion Analysis; Character n-grams; Word n-gram; POS tag n-grams; Word Classes; Frequent Patterns in Text; Parse Tree-Based Features; Pattern Discovery Algorithms; Exhaustivity; Specificity.,,Sentiment Classification; Text features for Sentiment Analysis; List of text features used;Feature design & construction for Text Categorization;,sentiment classification; polarity analysis; emotion analysis; feature design; ,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a52,Lecture 45,Logistical Regression; Ordinal Logistic Regression; Sentiment Analysis; Sentiment Classification; Rating Prediction; Text Categorization; Binary Sentiment Categorization; Multi-Level Categorization/Ratings; Logistic Regression Classifiers; Independent/Dependent Classifiers,Looks fine,"Suggestions: some terms might be too broad while others are too in depth, for example text categorization as a concept is good but it might be too broad",,Logistical Regression; Ordinal Logistic Regression; Sentiment Analysis; Sentiment Classification; Rating Prediction; Binary Sentiment Categorization; Multi-Level Categorization; Multi-Level Ratings; Logistic Regression Classifiers; Independent Classifiers; Dependent Classifiers,logistic regression; sentiment analysis; rating prediction; ordinal logistic regression; multi level rating; k-1 independent logistic regression classifiers; ,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a53,Lecture 46,Opinion mining; Sentiment Analysis; Latent Aspect Rating Analysis; Opinion-based entity ranking; Aspect-level opinion summarization; Reviewer preference analysis; Solving LARA; Aspect segmentation; Latent rating regression; Finding aspect rating; User preference rating;, ,Opinion mining; Sentiment Analysis; Latent Aspect Rating Analysis;  Opinion-based entity ranking; Aspect-level opinion summarization; Reviewer preference analysis; Solving LARA; Aspect segmentation; Latent rating regression; Finding aspect rating; User preference rating; User feedback and review analysis; Aspect ratings; Aspect weights; Aspect segments; Correlated words; Topic models; Sentiment weights; Observed information; Latent; Generating Model; Probability Maximization; Normal Distribution; Weighted average; Gaussian distribution; Multivariate Gaussian prior; Positive sentiment; Negative sentiment; Maximum likelihood; ,,Opinion mining; Sentiment Analysis; Latent Aspect Rating Analysis;  Opinion-based entity ranking; Aspect-level opinion summarization; Reviewer preference analysis; Solving LARA; Aspect segmentation; Latent rating regression; Finding aspect rating; User preference rating; User feedback and review analysis; Aspect ratings; Aspect weights; Aspect segments; Correlated words; Topic models; Sentiment weights; Observed information; Latent; Generating Model; Probability Maximization; Normal Distribution; Weighted average; Gaussian distribution; Multivariate Gaussian prior; Positive sentiment; Negative sentiment; Maximum likelihood,Latent Aspect Rating Analysis;Opinion mining; Sentiment Analysis; aspect ratings; aspect weights; aspect segments; latent rating regression;,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a54,Lecture 47,Latent Aspect Rating Analysis; Opinion Mining;Unified Generative Model;Rated Aspect Summarization;Discovering Consumer Preferences;User Rating Behavior Analysis; Personalized Ranking of Entities,"Latent Aspect Rating Analysis; Opinion Mining; Unified Generative Model; Rated Aspect Summarization; Discovering Consumer Preferences; User Rating Behaviour Analysis; Personalized Ranking of Entities; LARA;  Aspect ratings; Aspect weights; Aspect segments; Regression model; Aspect Segmentation; Topic model, Word distribution; PLSA; Rating decomposition; Sentiment weights; Feature representation; Ordinal regression; ",,,"Latent Aspect Rating Analysis; Opinion Mining; Unified Generative Model; Rated Aspect Summarization; Discovering Consumer Preferences; User Rating Behaviour Analysis; Personalized Ranking of Entities; LARA;  Aspect ratings; Aspect weights; Aspect segments; Regression model; Aspect Segmentation; Topic model, Word distribution; PLSA; Rating decomposition; Sentiment weights; Feature representation; Ordinal regression; ",Latent Aspect Rating Analysis; unified generative problem; ,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a55,Lecture 48,"Text-Based Prediction;
Data Mining Loop;
Joint Mining of Non-Text and Text data;
Predictive Model;
Human role in Data mining Loop;
Active Learning;
Effective predictors;
Unified view of Text Mining and Analysis;
Contextual Text Mining;
Pattern Annotation;","Could also include:
Sub-tasks of text-based prediction task",Could also include: Pattern Annotation,,Text-Based Prediction; Data Mining Loop; Joint Mining of Non-Text and Text data; Predictive Model; Human role in Data mining Loop; Active Learning; Effective predictors; Unified view of Text Mining and Analysis; Contextual Text Mining; Pattern Annotation; Sub-tasks of text-based prediction task; Pattern Annotation,Text-Based Prediction;Joint Mining of Non-Text and Text data; data mining loop; contextual text mining; pattern annotation,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a56,Lecture 49,Contextual Text Mining; Text Partition; Document Context; Document Relevance; Comparative Analysis; Topic Discovery; Topic Meaning,,"Could change ""text partition"" to ""partioning of text""",,Contextual Text Mining; partitioning of text; Document Context; Document Relevance; Comparative Analysis; Topic Discovery; Topic Mining,contextual text mining; context; ,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a57,Lecture 50,"contextual text mining; contextual probabilistic latent semantic analysis;   CPLSA; 
generative models; probabilistic latent semantic analysis; PLSA; context variables; generative model; topic content; 
topic coverage; topic analysis; text analysis; text mining; contextualized topic discovery;
conditional likelihood; probabilistic models; word distributions; EM algorithm; 
parameter estimation; data visualization; trends; time series; conditional distribution; plot; 
curves; conditional probability; spatial temporal patterns; spatial distribution; temporal change; vector space model;
Boolean Model; information retrieval; 
",Could also include: Event Impact Analysis,"Could also include: Retrieval Models, Cross Collection ",,"contextual text mining; contextual probabilistic latent semantic analysis;  CPLSA; generative models; probabilistic latent semantic analysis; PLSA; context variables; generative model; topic content; topic coverage; topic analysis; text analysis; text mining; contextualized topic discovery; conditional likelihood; probabilistic models; word distributions; EM algorithm; parameter estimation; data visualization; trends; time series; conditional distribution; plot; curves; conditional probability; spatial temporal patterns; spatial distribution; temporal change; vector space model; Boolean Model; information retrieval; Event Impact Analysis; Retrieval Models, Cross Collection ",contextual text mining; contextual probabilistic latent semantic analysis; CPLSA; generation process,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=860a1749-998e-406f-a8be-ee2d693f05a58,Lecture 51,CPLSA; PLSA; EM algorithm; context variables; contextual text mining; topic coverage; word distribution; semantic analysis; retrieval model,Looks good.,contextual text mining; social network context of text data; collaboration networks; geographic networks; joint analysis of text & network context; text metadata; network supervised topic modeling; probabilistic topic modeling; optimization; maximize likelihood estimation; heuristics; PLSA [probabilistic latent semantic analysis]; LDA [latent Dirichlet allocation]; applied mathematics; statistical topic modeling; network analysis; regularized topic modeling; Topic Modeling with Network Structure (TMN); adjacent vertices;,,CPLSA; PLSA; EM algorithm; context variables; contextual text mining; topic coverage; word distribution; semantic analysis; retrieval model; social network context of text data; collaboration networks; geographic networks; joint analysis of text and network context; text metadata; network supervised topic modeling; probabilistic topic modeling; optimization; maximize likelihood estimation; heuristics; PLSA; probabilistic latent semantic analysis; LDA; latent Dirichlet allocation; applied mathematics; statistical topic modeling; network analysis; regularized topic modeling; Topic Modeling with Network Structure; TMN; adjacent vertices;,contextual text mining; network context; Network supervised topic model;  NetPLSA; ,
